Abo	id	creation	first_use	last_use	expiration	amount	count_use
gutschein	4520623345389	2021-10-01			2023-10-31	40.00	0
gutschein	4523335249174	2024-01-12			2026-01-31	75.00	0
gutschein	4523382761186	2021-12-23	2022-12-04	2022-12-04	2023-12-31	0.00	2
gutschein	4523634372320	2021-10-01			2023-10-31	70.00	0
gutschein	4525360774379	2021-09-26			2023-09-30	60.00	0
foerderer	4730040682909	2024-09-09			2025-09-30	0.00	0
foerderer	4730041253771	2024-09-09			2025-09-30	0.00	0
foerderer	4730045668410	2024-09-09			2025-09-30	0.00	0
foerderer	4730056092105	2024-09-09			2025-09-30	0.00	0
foerderer	4730083149902	2024-09-09			2025-09-30	0.00	0
foerderer	4730087007697	2024-09-09			2025-09-30	0.00	0
foerderer	4730116599629	2024-09-09			2025-09-30	0.00	0
foerderer	4730128877043	2024-09-09			2025-09-30	0.00	0
foerderer	4730134718453	2024-09-09			2025-09-30	0.00	0
foerderer	4730141301280	2024-09-09			2025-09-30	0.00	0
foerderer	4730161404510	2024-09-09			2025-09-30	0.00	0
foerderer	4730185161864	2024-09-09			2025-09-30	0.00	0
foerderer	4730217379939	2024-09-09			2025-09-30	0.00	0
foerderer	4730221350191	2024-09-09			2025-09-30	0.00	0
foerderer	4730249568196	2024-09-09			2025-09-30	0.00	0
foerderer	4730278843721	2024-09-09			2025-09-30	0.00	0
foerderer	4730313793813	2024-09-09			2025-09-30	0.00	0
foerderer	4730321979391	2024-09-09			2025-09-30	0.00	0
foerderer	4730335855650	2024-09-09			2025-09-30	0.00	0
foerderer	4730350482534	2024-09-09			2025-09-30	0.00	0
foerderer	4730394336633	2024-09-09			2025-09-30	0.00	0
foerderer	4730418364581	2024-09-09			2025-09-30	0.00	0
foerderer	4730435484842	2024-09-09			2025-09-30	0.00	0
foerderer	4730446094818	2024-09-09			2025-09-30	0.00	0
foerderer	4730521530880	2024-09-09			2025-09-30	0.00	0
foerderer	4730548676929	2024-09-09			2025-09-30	0.00	0
foerderer	4730555987865	2024-09-09			2025-09-30	0.00	0
foerderer	4730561216799	2024-09-09			2025-09-30	0.00	0
foerderer	4730607584509	2024-09-09			2025-09-30	0.00	0
foerderer	4730614969818	2024-09-09			2025-09-30	0.00	0
foerderer	4730616506585	2024-09-09			2025-09-30	0.00	0
foerderer	4730672976995	2024-09-09			2025-09-30	0.00	0
foerderer	4730676521726	2024-09-09			2025-09-30	0.00	0
foerderer	4730696907111	2024-09-09			2025-09-30	0.00	0
foerderer	4730762917150	2024-09-09			2025-09-30	0.00	0
foerderer	4730770625535	2024-09-09			2025-09-30	0.00	0
foerderer	4730776186733	2024-09-09			2025-09-30	0.00	0
foerderer	4730820556727	2024-09-09			2025-09-30	0.00	0
foerderer	4730861670222	2024-09-09			2025-09-30	0.00	0
foerderer	4730880439350	2024-09-09	2024-09-18	2024-09-18	2025-09-30	0.00	2
foerderer	4730881417623	2024-09-09			2025-09-30	0.00	0
foerderer	4730885457540	2024-09-09			2025-09-30	0.00	0
foerderer	4730899127927	2024-09-09	2024-10-30	2024-10-30	2025-09-30	0.00	2
foerderer	4730971400238	2024-09-09			2025-09-30	0.00	0
foerderer	4730988586949	2024-09-09			2025-09-30	0.00	0
foerderer	4731001680613	2024-09-09			2025-09-30	0.00	0
foerderer	4731008546783	2024-09-09			2025-09-30	0.00	0
foerderer	4731013039126	2024-09-09			2025-09-30	0.00	0
foerderer	4731016668972	2024-09-09			2025-09-30	0.00	0
foerderer	4731062590258	2024-09-09			2025-09-30	0.00	0
foerderer	4731084298132	2024-09-09			2025-09-30	0.00	0
foerderer	4731093143515	2024-09-09			2025-09-30	0.00	0
foerderer	4731102797326	2024-09-09			2025-09-30	0.00	0
foerderer	4731119598022	2024-09-09			2025-09-30	0.00	0
foerderer	4731125533253	2024-09-09			2025-09-30	0.00	0
foerderer	4731140544821	2024-09-09			2025-09-30	0.00	0
foerderer	4731157789550	2024-09-09			2025-09-30	0.00	0
foerderer	4731171937494	2024-09-09			2025-09-30	0.00	0
foerderer	4731210275334	2024-09-09			2025-09-30	0.00	0
foerderer	4731254527475	2024-09-09			2025-09-30	0.00	0
foerderer	4731278895857	2024-09-09			2025-09-30	0.00	0
foerderer	4731290888523	2024-09-09			2025-09-30	0.00	0
foerderer	4731330982136	2024-09-09			2025-09-30	0.00	0
foerderer	4731337054898	2024-09-09			2025-09-30	0.00	0
foerderer	4731337857437	2024-09-09			2025-09-30	0.00	0
foerderer	4731376005431	2024-09-09			2025-09-30	0.00	0
foerderer	4731380011855	2024-09-09			2025-09-30	0.00	0
foerderer	4731385571248	2024-09-09			2025-09-30	0.00	0
foerderer	4731389842412	2024-09-09			2025-09-30	0.00	0
foerderer	4731392078600	2024-09-09			2025-09-30	0.00	0
