id	creation	first_use	last_use	expiration	count_use
4750068288044	2022-02-15	2022-02-15	2024-11-08	2024-02-29	4
4750177809215	2022-04-22	2022-04-22	2022-09-07	2024-04-30	6
4750432005581	2021-12-08	2022-04-02	2022-04-02	2023-12-31	2
4751035306754	2021-10-30	2021-10-30	2022-10-15	2023-10-31	3
4751152425956	2021-11-12			2023-11-30	0
4751295293092	2022-09-24	2022-09-24	2022-09-24	2024-09-30	2
4751327098961	2021-12-08	2021-12-08	2021-12-08	2023-12-31	2
4751917346427	2022-04-08	2022-04-08	2022-04-08	2024-04-30	2
4751923207064	2022-01-19	2022-01-19	2022-01-19	2024-01-31	6
4752033952837	2022-02-22	2022-02-22	2022-04-15	2024-02-29	6
4752196433686	2022-11-13	2022-11-13	2022-11-13	2024-11-30	2
4752284560430	2022-10-21	2022-10-21	2022-12-30	2024-10-31	6
4752614125339	2022-10-15	2022-10-15	2022-11-03	2024-10-31	4
4752674482045	2022-11-04	2022-11-04	2022-11-04	2024-11-30	1
4752777143836	2022-04-13	2022-10-14	2022-12-30	2024-04-30	4
4753266828937	2022-01-30	2022-01-30	2022-11-19	2024-01-31	3
4753273298952	2022-03-22	2022-03-22	2022-03-22	2024-03-31	1
4753387550526	2021-12-27	2021-12-29	2022-11-24	2023-12-31	5
4753461576930	2021-08-27	2021-08-27	2021-08-27	2023-08-31	2
4753774467017	2022-02-26	2022-02-26	2022-02-26	2024-02-29	4
4754044865632	2022-04-02	2022-04-02	2022-09-03	2024-04-30	6
4754112219107	2021-11-30			2023-11-30	0
4754137795570	2022-09-24			2024-09-30	0
4754180490514	2021-09-16			2023-09-30	0
4754466747851	2022-01-29	2022-01-29	2022-11-12	2024-01-31	4
4754615043575	2021-09-16	2021-09-16	2022-04-02	2023-09-30	6
4754933208335	2022-08-25	2022-08-25	2022-08-25	2024-08-31	2
4755073943049	2022-11-25	2022-11-25	2023-11-26	2024-11-30	3
4755324126245	2021-09-28	2021-09-28	2022-04-02	2023-09-30	6
4755518512199	2022-09-09	2022-09-09	2022-09-09	2024-09-30	2
4755612830526	2022-09-24			2024-09-30	0
4755772981946	2022-01-30	2022-03-02	2022-03-02	2024-01-31	2
4756195546323	2022-04-02	2022-04-02	2022-04-13	2024-04-30	4
4756265752067	2022-03-22	2022-03-22	2022-03-22	2024-03-31	2
4756299872694	2022-04-01	2022-04-01	2022-04-01	2024-04-30	2
4756516786186	2021-09-08	2022-01-29	2022-01-29	2023-09-30	1
4756529580559	2022-09-27			2024-09-30	0
4756664428310	2021-08-28	2021-08-28	2021-08-28	2023-08-31	1
4756702360183	2022-04-21	2022-04-21	2022-04-21	2024-04-30	1
4756868239644	2021-11-12	2021-11-30	2021-11-30	2023-11-30	4
4757106886347	2021-12-28	2021-12-28	2021-12-28	2023-12-31	2
4757390787252	2021-09-20	2021-09-20	2021-09-20	2023-09-30	2
4757407831251	2021-08-28	2021-09-10	2022-01-07	2023-08-31	6
4757434307545	2021-08-27	2021-08-27	2021-08-27	2023-08-31	1
4757584034070	2021-08-29	2021-08-29	2022-09-16	2023-08-31	6
4757665592147	2022-11-19			2024-11-30	0
4757891418211	2021-11-12	2021-11-12	2021-11-12	2023-11-30	2
4758254468676	2022-04-22	2022-04-22	2022-10-29	2024-04-30	6
4758341499583	2022-11-04			2024-11-30	0
4758869082502	2021-12-29	2021-12-29	2021-12-29	2023-12-31	2
4758890012677	2021-09-28	2021-09-28	2022-02-19	2023-09-30	6
4758958460235	2021-10-21	2021-10-21	2021-12-17	2023-10-31	4
4759183496433	2021-09-08	2021-09-08	2021-09-21	2023-09-30	3
4759240960099	2022-02-05	2022-02-05	2024-09-20	2024-02-29	6
4759412320324	2021-08-29	2021-08-29	2021-12-27	2023-08-31	4
4759456735863	2021-09-08	2021-09-08	2021-09-15	2023-09-30	2
4759470730783	2021-09-16	2021-09-16	2022-03-22	2023-09-30	6
4759677930368	2022-04-18	2022-04-18	2022-04-24	2024-04-30	2
4759695366897	2021-08-28	2021-10-18	2022-04-04	2023-08-31	6
4759766498854	2022-11-11	2022-11-11	2022-11-11	2024-11-30	1
4759945253557	2024-02-17			2026-02-28	0
4759999951232	2022-09-10	2022-10-14	2023-11-26	2024-09-30	6
