id	creation	first_use	last_use	expiration	amount	count_use
4740193187022	2021-12-21			2023-12-31	16.00	0
4740328585501	2024-09-20			2026-09-30	32.00	0
4740558078699	2021-12-21			2023-12-31	16.00	0
4740577608709	2022-06-28			2024-06-30	12.00	0
4740639350645	2022-05-14			2024-05-31	12.00	0
4740778109722	2024-12-20			2026-12-31	-16.00	0
4740858348713	2022-06-28			2024-06-30	12.00	0
4740965566468	2022-04-07			2024-04-30	20.00	0
4741400558154	2021-10-30			2023-10-31	12.00	0
4741482122205	2022-10-09			2024-10-31	50.00	0
4741556849014	2022-01-20			2024-01-31	16.00	0
4741560248964	2021-12-24	2022-02-13	2022-02-13	2023-12-31	16.00	1
4741614306022	2021-12-19			2023-12-31	12.00	0
4741644213109	2021-09-23			2023-09-30	16.00	0
4741710228129	2024-04-26			2026-04-30	80.00	0
4741729882510	2021-12-21			2023-12-31	16.00	0
4741784888472	2021-08-29			2023-08-31	16.00	0
4742096531360	2021-12-16	2022-01-10	2022-01-27	2023-12-31	0.00	3
4742205242026	2021-12-21			2023-12-31	16.00	0
4742253663583	2022-05-03			2024-05-31	33.00	0
4742343564769	2021-12-21			2023-12-31	16.00	0
4742465084879	2022-01-31			2024-01-31	0.00	0
4742599352547	2024-12-20			2026-12-31	16.00	0
4742761322286	2021-12-19			2023-12-31	12.00	0
4743029851111	2021-09-28			2023-09-30	12.00	0
4743053244613	2022-04-15	2022-04-15	2022-04-15	2024-04-30	0.00	2
4743301882161	2024-01-12			2026-01-31	75.00	0
4743391365476	2022-03-12			2024-03-31	16.00	0
4743404109738	2022-04-07			2024-04-30	20.00	0
4743428958121	2021-10-22	2022-12-30	2022-12-30	2023-10-31	0.00	4
4743530065199	2024-12-20	2025-01-10	2025-01-10	2026-12-31	0.00	1
4743549331698	2022-04-15			2024-04-30	16.00	0
4743580719059	2024-12-20			2026-12-31	16.00	0
4743820159881	2021-12-18	2021-12-18	2021-12-18	2023-12-31	0.00	1
4743937967676	2022-05-16			2024-05-31	21.00	0
4743961247720	2022-05-16			2024-05-31	21.00	0
4744004969081	2022-01-20			2024-01-31	16.00	0
4744082451829	2024-12-20			2026-12-31	16.00	0
4744087489483	2021-09-15			2023-09-30	56.00	0
4744366691743	2022-01-20			2024-01-31	16.00	0
4744407771663	2022-05-10	2022-11-13	2022-11-13	2024-05-31	0.00	1
4744437013986	2022-02-19			2024-02-29	16.00	0
4744445276274	2021-12-22	2022-01-29	2022-01-29	2023-12-31	0.00	2
4744481429429	2022-02-12			2024-02-29	16.00	0
